,track_ids,track_name,artist_name,released_year,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
47,4XiGKQqbmnMVxDzUj6j3f2,Worth It,YK Osiris,2019,61,0.764,0.528,5,-4.082,0,0.0588,0.468,0.0,0.0811,0.422,123.936,audio_features,4XiGKQqbmnMVxDzUj6j3f2,spotify:track:4XiGKQqbmnMVxDzUj6j3f2,https://api.spotify.com/v1/tracks/4XiGKQqbmnMVxDzUj6j3f2,https://api.spotify.com/v1/audio-analysis/4XiGKQqbmnMVxDzUj6j3f2,189253,5
48,2nKYHpmwjLaEOXS3o7QMiz,Baby,"Quality Control, Lil Baby, DaBaby",2019,54,0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003,audio_features,2nKYHpmwjLaEOXS3o7QMiz,spotify:track:2nKYHpmwjLaEOXS3o7QMiz,https://api.spotify.com/v1/tracks/2nKYHpmwjLaEOXS3o7QMiz,https://api.spotify.com/v1/audio-analysis/2nKYHpmwjLaEOXS3o7QMiz,142417,4
49,3GJ4hzg4lrGwU51Y3VARbF,Speechless,Dan + Shay,2018,68,0.616,0.438,1,-5.968,1,0.0298,0.356,0.0,0.24,0.386,135.929,audio_features,3GJ4hzg4lrGwU51Y3VARbF,spotify:track:3GJ4hzg4lrGwU51Y3VARbF,https://api.spotify.com/v1/tracks/3GJ4hzg4lrGwU51Y3VARbF,https://api.spotify.com/v1/audio-analysis/3GJ4hzg4lrGwU51Y3VARbF,213387,4
50,3wLtYwtqvKK2ewelSVPeDK,Die Young,Roddy Ricch,2018,62,0.688,0.656,4,-5.541,0,0.276,0.218,0.0,0.115,0.365,160.414,audio_features,3wLtYwtqvKK2ewelSVPeDK,spotify:track:3wLtYwtqvKK2ewelSVPeDK,https://api.spotify.com/v1/tracks/3wLtYwtqvKK2ewelSVPeDK,https://api.spotify.com/v1/audio-analysis/3wLtYwtqvKK2ewelSVPeDK,157657,4
51,6CTWathupIiDs7U4InHnDA,Trip,Ella Mai,2018,71,0.477,0.609,11,-5.628,0,0.144,0.222,0.0,0.107,0.357,79.884,audio_features,6CTWathupIiDs7U4InHnDA,spotify:track:6CTWathupIiDs7U4InHnDA,https://api.spotify.com/v1/tracks/6CTWathupIiDs7U4InHnDA,https://api.spotify.com/v1/audio-analysis/6CTWathupIiDs7U4InHnDA,213993,4
52,4VURpIwm3upq2sZZSiWKzV,I Like It,"Cardi B, Bad Bunny, J Balvin",2023,10,0.815,0.727,5,-3.998,0,0.128,0.101,0.0,0.372,0.649,136.045,audio_features,4VURpIwm3upq2sZZSiWKzV,spotify:track:4VURpIwm3upq2sZZSiWKzV,https://api.spotify.com/v1/tracks/4VURpIwm3upq2sZZSiWKzV,https://api.spotify.com/v1/audio-analysis/4VURpIwm3upq2sZZSiWKzV,253390,4
53,3WZNL3JYE64TEMW97s3m7Z,Señorita,"Shawn Mendes, Camila Cabello",2023,7,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,audio_features,3WZNL3JYE64TEMW97s3m7Z,spotify:track:3WZNL3JYE64TEMW97s3m7Z,https://api.spotify.com/v1/tracks/3WZNL3JYE64TEMW97s3m7Z,https://api.spotify.com/v1/audio-analysis/3WZNL3JYE64TEMW97s3m7Z,190960,4
54,0AluA5RNsa4Cx6XRhf2hWZ,10 Freaky Girls (with 21 Savage),"Metro Boomin, 21 Savage",2018,75,0.797,0.353,6,-9.931,0,0.369,0.59,0.0,0.102,0.0731,87.997,audio_features,0AluA5RNsa4Cx6XRhf2hWZ,spotify:track:0AluA5RNsa4Cx6XRhf2hWZ,https://api.spotify.com/v1/tracks/0AluA5RNsa4Cx6XRhf2hWZ,https://api.spotify.com/v1/audio-analysis/0AluA5RNsa4Cx6XRhf2hWZ,208293,4
55,3cw1VoPVHSUAwwnhiUr4pK,Someone You Loved,Lewis Capaldi,2021,13,0.501,0.405,1,-5.679,1,0.032,0.751,0.0,0.105,0.447,109.889,audio_features,3cw1VoPVHSUAwwnhiUr4pK,spotify:track:3cw1VoPVHSUAwwnhiUr4pK,https://api.spotify.com/v1/tracks/3cw1VoPVHSUAwwnhiUr4pK,https://api.spotify.com/v1/audio-analysis/3cw1VoPVHSUAwwnhiUr4pK,182173,4
56,1fewSx2d5KIZ04wsooEBOz,Space Cadet (feat. Gunna),"Metro Boomin, Gunna",2018,79,0.901,0.464,5,-9.789,0,0.0645,0.368,1.82e-05,0.238,0.638,109.004,audio_features,1fewSx2d5KIZ04wsooEBOz,spotify:track:1fewSx2d5KIZ04wsooEBOz,https://api.spotify.com/v1/tracks/1fewSx2d5KIZ04wsooEBOz,https://api.spotify.com/v1/audio-analysis/1fewSx2d5KIZ04wsooEBOz,203267,4
