,track_ids,track_name,artist_name,released_year,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,1NUSXgqkenc0sP7idI2s8g,WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",2022,53,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,1NUSXgqkenc0sP7idI2s8g,spotify:track:1NUSXgqkenc0sP7idI2s8g,https://api.spotify.com/v1/tracks/1NUSXgqkenc0sP7idI2s8g,https://api.spotify.com/v1/audio-analysis/1NUSXgqkenc0sP7idI2s8g,189893,4
1,4A8cWXxKfIL3lAyUDzXbCF,Super Gremlin,Kodak Black,2021,67,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,audio_features,4A8cWXxKfIL3lAyUDzXbCF,spotify:track:4A8cWXxKfIL3lAyUDzXbCF,https://api.spotify.com/v1/tracks/4A8cWXxKfIL3lAyUDzXbCF,https://api.spotify.com/v1/audio-analysis/4A8cWXxKfIL3lAyUDzXbCF,200548,4
2,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,"Bad Bunny, Chencho Corleone",2022,84,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,audio_features,6Sq7ltF9Qa7SNFBsV5Cogx,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,178567,4
3,3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),"Gunna, Future, Young Thug",2022,69,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,audio_features,3XOalgusokruzA5ZBA2Qcb,spotify:track:3XOalgusokruzA5ZBA2Qcb,https://api.spotify.com/v1/tracks/3XOalgusokruzA5ZBA2Qcb,https://api.spotify.com/v1/audio-analysis/3XOalgusokruzA5ZBA2Qcb,136267,1
4,4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,2022,90,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4Dvkj6JhhA12EX05fT7y2e,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303,4
5,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,2022,82,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,audio_features,1IHWl5LamUGEuP4ozKQSXZ,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,243717,4
6,0wHFktze2PHC5jDt3B17DC,First Class,Jack Harlow,2022,76,0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,audio_features,0wHFktze2PHC5jDt3B17DC,spotify:track:0wHFktze2PHC5jDt3B17DC,https://api.spotify.com/v1/tracks/0wHFktze2PHC5jDt3B17DC,https://api.spotify.com/v1/audio-analysis/0wHFktze2PHC5jDt3B17DC,173948,4
7,3ihIZrJreMJPjQdNLrEXnP,In A Minute,Lil Baby,2022,61,0.643,0.605,4,-5.968,0,0.297,0.0336,0.0,0.112,0.145,84.216,audio_features,3ihIZrJreMJPjQdNLrEXnP,spotify:track:3ihIZrJreMJPjQdNLrEXnP,https://api.spotify.com/v1/tracks/3ihIZrJreMJPjQdNLrEXnP,https://api.spotify.com/v1/audio-analysis/3ihIZrJreMJPjQdNLrEXnP,200471,4
8,2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",2021,76,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,audio_features,2BcMwX1MPV6ZHP4tUT9uq6,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6,242966,4
9,46IZ0fSY2mpAiktS3KOqds,Easy On Me,Adele,2021,84,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,audio_features,46IZ0fSY2mpAiktS3KOqds,spotify:track:46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/tracks/46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/audio-analysis/46IZ0fSY2mpAiktS3KOqds,224695,4
