,track_ids,track_name,artist_name,released_year,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,2023,83,0.492,0.673,6,-5.431,1,0.0347,0.413,0.0,0.137,0.488,203.812,audio_features,7K3BhSpAxZBznislvUMVtn,spotify:track:7K3BhSpAxZBznislvUMVtn,https://api.spotify.com/v1/tracks/7K3BhSpAxZBznislvUMVtn,https://api.spotify.com/v1/audio-analysis/7K3BhSpAxZBznislvUMVtn,163855,4
1,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,2022,86,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4
2,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,"Drake, 21 Savage",2022,76,0.549,0.518,4,-9.39,0,0.257,0.0517,1.21e-06,0.378,0.418,160.07,audio_features,1bDbXMyjaUIooNwFE9wn0N,spotify:track:1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N,239360,4
3,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,2022,87,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
4,2ZL7WZcjuYKi1KUDtp4kCC,Spin Bout U,"Drake, 21 Savage",2022,75,0.763,0.72,7,-6.383,1,0.0447,0.00961,0.0,0.165,0.229,129.971,audio_features,2ZL7WZcjuYKi1KUDtp4kCC,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/tracks/2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/audio-analysis/2ZL7WZcjuYKi1KUDtp4kCC,214589,4
5,5BbdKBZO0TH0GhfxUfyhL9,Freestyle,Lil Baby,2017,78,0.877,0.516,2,-5.426,0,0.0706,0.215,0.0,0.143,0.255,119.996,audio_features,5BbdKBZO0TH0GhfxUfyhL9,spotify:track:5BbdKBZO0TH0GhfxUfyhL9,https://api.spotify.com/v1/tracks/5BbdKBZO0TH0GhfxUfyhL9,https://api.spotify.com/v1/audio-analysis/5BbdKBZO0TH0GhfxUfyhL9,162053,4
6,5uU1uuyaUIBOiiUSQG7Wl3,You Proof,Morgan Wallen,2022,69,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,audio_features,5uU1uuyaUIBOiiUSQG7Wl3,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/tracks/5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/audio-analysis/5uU1uuyaUIBOiiUSQG7Wl3,157478,4
7,1NUSXgqkenc0sP7idI2s8g,WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",2022,53,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,1NUSXgqkenc0sP7idI2s8g,spotify:track:1NUSXgqkenc0sP7idI2s8g,https://api.spotify.com/v1/tracks/1NUSXgqkenc0sP7idI2s8g,https://api.spotify.com/v1/audio-analysis/1NUSXgqkenc0sP7idI2s8g,189893,4
8,7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,2023,88,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,audio_features,7DSAEUvxU8FajXtRloy8M0,spotify:track:7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600,4
9,3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023,77,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,audio_features,3dnP0JxCgygwQH9Gm7q7nb,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/tracks/3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/audio-analysis/3dnP0JxCgygwQH9Gm7q7nb,165671,3
10,5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,2019,85,0.755,0.562,9,-8.947,0,0.0355,0.0186,0.000231,0.18,0.368,116.931,audio_features,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4
11,2KrIj8I5AxnpFzLIHxvxql,Thinkin’ Bout Me,Morgan Wallen,2023,39,0.659,0.789,3,-5.723,0,0.0293,0.487,0.0,0.115,0.468,139.982,audio_features,2KrIj8I5AxnpFzLIHxvxql,spotify:track:2KrIj8I5AxnpFzLIHxvxql,https://api.spotify.com/v1/tracks/2KrIj8I5AxnpFzLIHxvxql,https://api.spotify.com/v1/audio-analysis/2KrIj8I5AxnpFzLIHxvxql,177388,4
12,4SI5jkfBClYmMWhWWH8f9p,Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",2022,48,0.716,0.613,1,-6.018,0,0.0522,0.391,0.0,0.0813,0.157,97.914,audio_features,4SI5jkfBClYmMWhWWH8f9p,spotify:track:4SI5jkfBClYmMWhWWH8f9p,https://api.spotify.com/v1/tracks/4SI5jkfBClYmMWhWWH8f9p,https://api.spotify.com/v1/audio-analysis/4SI5jkfBClYmMWhWWH8f9p,221520,4
13,226qS3j7u7T9tjxEkZtvUg,Just Wanna Rock,Lil Uzi Vert,2023,21,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,audio_features,226qS3j7u7T9tjxEkZtvUg,spotify:track:226qS3j7u7T9tjxEkZtvUg,https://api.spotify.com/v1/tracks/226qS3j7u7T9tjxEkZtvUg,https://api.spotify.com/v1/audio-analysis/226qS3j7u7T9tjxEkZtvUg,123891,4
14,0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",2022,82,0.709,0.583,5,-5.298,0,0.204,0.138,2.97e-06,0.195,0.533,116.624,audio_features,0vjeOZ3Ft5jvAi9SBFJm1j,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/audio-analysis/0vjeOZ3Ft5jvAi9SBFJm1j,182667,4
15,1SRw5p2lVAi7RGlHEmZg66,Favorite Song,Toosii,2023,67,0.813,0.381,2,-9.339,1,0.0494,0.276,0.0,0.0985,0.434,116.028,audio_features,1SRw5p2lVAi7RGlHEmZg66,spotify:track:1SRw5p2lVAi7RGlHEmZg66,https://api.spotify.com/v1/tracks/1SRw5p2lVAi7RGlHEmZg66,https://api.spotify.com/v1/audio-analysis/1SRw5p2lVAi7RGlHEmZg66,208630,4
16,4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,2023,86,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,audio_features,4rXLjWdF2ZZpXCVTfWcshS,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040,4
17,5ScZrVCMGSo7HbzTfJJaht,Anti-Hero,Taylor Swift,2022,41,0.633,0.648,4,-6.645,1,0.062,0.121,2.62e-06,0.161,0.49,96.888,audio_features,5ScZrVCMGSo7HbzTfJJaht,spotify:track:5ScZrVCMGSo7HbzTfJJaht,https://api.spotify.com/v1/tracks/5ScZrVCMGSo7HbzTfJJaht,https://api.spotify.com/v1/audio-analysis/5ScZrVCMGSo7HbzTfJJaht,200690,4
18,6T7FXSuXykeGktMLGp8WgE,All My Life (feat. J. Cole),"Lil Durk, J. Cole",2023,67,0.787,0.57,3,-5.881,1,0.225,0.0449,0.0,0.135,0.733,142.974,audio_features,6T7FXSuXykeGktMLGp8WgE,spotify:track:6T7FXSuXykeGktMLGp8WgE,https://api.spotify.com/v1/tracks/6T7FXSuXykeGktMLGp8WgE,https://api.spotify.com/v1/audio-analysis/6T7FXSuXykeGktMLGp8WgE,223879,4
19,00qca3mz2Xqf8NkrLEQPv5,Low Down,Lil Baby,2020,45,0.962,0.619,10,-5.562,0,0.405,0.0354,0.0,0.083,0.154,127.956,audio_features,00qca3mz2Xqf8NkrLEQPv5,spotify:track:00qca3mz2Xqf8NkrLEQPv5,https://api.spotify.com/v1/tracks/00qca3mz2Xqf8NkrLEQPv5,https://api.spotify.com/v1/audio-analysis/00qca3mz2Xqf8NkrLEQPv5,144652,4
20,7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,Drake,2023,73,0.828,0.441,10,-8.562,0,0.0685,0.0757,8.68e-06,0.295,0.533,140.009,audio_features,7aRCf5cLOFN1U7kvtChY1G,spotify:track:7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/tracks/7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/audio-analysis/7aRCf5cLOFN1U7kvtChY1G,272113,4
21,6LlzAikJ2j2DBgqlD5uotw,Something in the Orange,Zach Bryan,2023,0,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,6LlzAikJ2j2DBgqlD5uotw,spotify:track:6LlzAikJ2j2DBgqlD5uotw,https://api.spotify.com/v1/tracks/6LlzAikJ2j2DBgqlD5uotw,https://api.spotify.com/v1/audio-analysis/6LlzAikJ2j2DBgqlD5uotw,228013,3
22,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2022,82,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,audio_features,3F5CgOj3wFlRv51JsHbxhe,spotify:track:3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/tracks/3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/audio-analysis/3F5CgOj3wFlRv51JsHbxhe,218365,4
23,316hrjvCdXPcm2LqhTnxOL,One Thing At A Time,Morgan Wallen,2023,33,0.613,0.923,7,-5.187,1,0.0307,0.00413,1.97e-06,0.284,0.893,141.982,audio_features,316hrjvCdXPcm2LqhTnxOL,spotify:track:316hrjvCdXPcm2LqhTnxOL,https://api.spotify.com/v1/tracks/316hrjvCdXPcm2LqhTnxOL,https://api.spotify.com/v1/audio-analysis/316hrjvCdXPcm2LqhTnxOL,206865,4
24,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,2023,84,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,audio_features,1Lo0QY9cvc8sUB2vnIOxDT,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493,4
25,2wSTnntOPRi7aQneobFtU4,Shirt,SZA,2022,75,0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,audio_features,2wSTnntOPRi7aQneobFtU4,spotify:track:2wSTnntOPRi7aQneobFtU4,https://api.spotify.com/v1/tracks/2wSTnntOPRi7aQneobFtU4,https://api.spotify.com/v1/audio-analysis/2wSTnntOPRi7aQneobFtU4,181840,4
26,31lopd32BkJBTSgYE16c5e,In A Minute,Lil Baby,2022,62,0.547,0.604,2,-5.99,1,0.319,0.0334,0.0,0.112,0.149,78.502,audio_features,31lopd32BkJBTSgYE16c5e,spotify:track:31lopd32BkJBTSgYE16c5e,https://api.spotify.com/v1/tracks/31lopd32BkJBTSgYE16c5e,https://api.spotify.com/v1/audio-analysis/31lopd32BkJBTSgYE16c5e,200471,1
27,4xv9BDq764NSKG3geku9X2,Wasted On You,Morgan Wallen,2021,33,0.505,0.658,11,-5.24,0,0.0318,0.371,0.00136,0.121,0.255,196.002,audio_features,4xv9BDq764NSKG3geku9X2,spotify:track:4xv9BDq764NSKG3geku9X2,https://api.spotify.com/v1/tracks/4xv9BDq764NSKG3geku9X2,https://api.spotify.com/v1/audio-analysis/4xv9BDq764NSKG3geku9X2,178520,3
28,0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,2010,87,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,audio_features,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,195373,4
29,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,2022,82,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,audio_features,1IHWl5LamUGEuP4ozKQSXZ,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,243717,4
30,5MwynWK9s4hlyKHqhkNn4A,Chasin' You,Morgan Wallen,2018,62,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,audio_features,5MwynWK9s4hlyKHqhkNn4A,spotify:track:5MwynWK9s4hlyKHqhkNn4A,https://api.spotify.com/v1/tracks/5MwynWK9s4hlyKHqhkNn4A,https://api.spotify.com/v1/audio-analysis/5MwynWK9s4hlyKHqhkNn4A,205453,4
31,6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2023,75,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,audio_features,6AQbmUe0Qwf5PZnt4HmTXv,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv,131013,4
32,3Qu3Zh4WTKhP9GEXo0aDnb,Thought You Should Know,Morgan Wallen,2023,76,0.537,0.701,6,-6.214,1,0.0264,0.48,6.65e-06,0.145,0.552,139.995,audio_features,3Qu3Zh4WTKhP9GEXo0aDnb,spotify:track:3Qu3Zh4WTKhP9GEXo0aDnb,https://api.spotify.com/v1/tracks/3Qu3Zh4WTKhP9GEXo0aDnb,https://api.spotify.com/v1/audio-analysis/3Qu3Zh4WTKhP9GEXo0aDnb,215572,4
33,2ZlABhxMMa43COmZ97kKsJ,Jumbotron Shit Poppin,Drake,2022,65,0.794,0.569,6,-6.424,0,0.275,0.227,0.0,0.235,0.311,99.031,audio_features,2ZlABhxMMa43COmZ97kKsJ,spotify:track:2ZlABhxMMa43COmZ97kKsJ,https://api.spotify.com/v1/tracks/2ZlABhxMMa43COmZ97kKsJ,https://api.spotify.com/v1/audio-analysis/2ZlABhxMMa43COmZ97kKsJ,137151,4
34,6ug9fUi5oLLgQgOF1G8WkM,California Breeze,Lil Baby,2022,65,0.837,0.677,5,-7.019,0,0.404,0.00328,0.0,0.108,0.218,108.203,audio_features,6ug9fUi5oLLgQgOF1G8WkM,spotify:track:6ug9fUi5oLLgQgOF1G8WkM,https://api.spotify.com/v1/tracks/6ug9fUi5oLLgQgOF1G8WkM,https://api.spotify.com/v1/audio-analysis/6ug9fUi5oLLgQgOF1G8WkM,177789,5
35,6OlvgAKJjNZbuyOh7dASoz,Sum 2 Prove,Lil Baby,2020,45,0.827,0.552,4,-7.571,0,0.274,0.0169,0.0,0.122,0.408,124.011,audio_features,6OlvgAKJjNZbuyOh7dASoz,spotify:track:6OlvgAKJjNZbuyOh7dASoz,https://api.spotify.com/v1/tracks/6OlvgAKJjNZbuyOh7dASoz,https://api.spotify.com/v1/audio-analysis/6OlvgAKJjNZbuyOh7dASoz,205760,4
36,0QNNd0qMCDbraS1nQPg3aA,HOTEL LOBBY (Unc & Phew),"Quavo, Takeoff",2022,65,0.821,0.636,11,-4.479,1,0.169,0.142,0.0,0.233,0.163,127.961,audio_features,0QNNd0qMCDbraS1nQPg3aA,spotify:track:0QNNd0qMCDbraS1nQPg3aA,https://api.spotify.com/v1/tracks/0QNNd0qMCDbraS1nQPg3aA,https://api.spotify.com/v1/audio-analysis/0QNNd0qMCDbraS1nQPg3aA,142657,4
37,34tz0eDhGuFErIuW3q4mPX,On BS,"Drake, 21 Savage",2022,70,0.842,0.367,9,-7.273,1,0.643,0.017,0.0,0.159,0.363,157.996,audio_features,34tz0eDhGuFErIuW3q4mPX,spotify:track:34tz0eDhGuFErIuW3q4mPX,https://api.spotify.com/v1/tracks/34tz0eDhGuFErIuW3q4mPX,https://api.spotify.com/v1/audio-analysis/34tz0eDhGuFErIuW3q4mPX,261544,4
38,5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,2022,85,0.358,0.284,7,-8.285,1,0.0285,0.805,0.0,0.183,0.276,99.796,audio_features,5Y35SjAfXjjG0sFQ3KOxmm,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,https://api.spotify.com/v1/tracks/5Y35SjAfXjjG0sFQ3KOxmm,https://api.spotify.com/v1/audio-analysis/5Y35SjAfXjjG0sFQ3KOxmm,180853,3
